bruinID.text,button.numClicks,button.timesOn,button.timesOff,mouseLogIn.x,mouseLogIn.y,mouseLogIn.leftButton,mouseLogIn.midButton,mouseLogIn.rightButton,mouseLogIn.time,mouseLogIn.clicked_name,repeat.thisRepN,repeat.thisTrialN,repeat.thisN,repeat.thisIndex,repeat.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,subjage_slider.response,subjage_slider.rt,confidence_scale.response,confidence_scale.rt,key_resp_7.keys,key_resp_7.rt,button_2.numClicks,button_2.timesOn,button_2.timesOff,email_type,scam_button.numClicks,scam_button.timesOn,scam_button.timesOff,legit_button.numClicks,legit_button.timesOn,legit_button.timesOff,button_selections_1,confidence_scale_email.response,confidence_scale_email.rt,personal_rel_scale.response,personal_rel_scale.rt,curiosity_scale.response,curiosity_scale.rt,email_loop.thisRepN,email_loop.thisTrialN,email_loop.thisN,email_loop.thisIndex,email_loop.ran,emails,type,xsize,ysize,xpos,ypos,key_resp_11.keys,key_resp_11.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,textbox.text,next_button.numClicks,next_button.timesOn,next_button.timesOff,email_loops2.thisRepN,email_loops2.thisTrialN,email_loops2.thisN,email_loops2.thisIndex,email_loops2.ran,key_resp_3.keys,key_resp_3.rt,slider1_2.response,slider1_2.rt,trust_question,loop_GT.thisRepN,loop_GT.thisTrialN,loop_GT.thisN,loop_GT.thisIndex,loop_GT.ran,Phrases,instructionresp_2.keys,instructionresp_2.rt,key_resp_13.keys,key_resp_13.rt,gen_question,loop_G.thisRepN,loop_G.thisTrialN,loop_G.thisN,loop_G.thisIndex,loop_G.ran,Questions,instructionresp.keys,instructionresp.rt,key_resp_2.keys,key_resp_2.rt,lonely_question,loop_LS.thisRepN,loop_LS.thisTrialN,loop_LS.thisN,loop_LS.thisIndex,loop_LS.ran,key_resp_4.keys,key_resp_4.rt,rating.response,rating.rt,dementia_question,loop_dm.thisRepN,loop_dm.thisTrialN,loop_dm.thisN,loop_dm.thisIndex,loop_dm.ran,Items,key_resp.keys,key_resp.rt,slider1.response,slider1.rt,ss_question,loop_SS.thisRepN,loop_SS.thisTrialN,loop_SS.thisN,loop_SS.thisIndex,loop_SS.ran,Statements,slider.response,slider.rt,Gender,textboxAge.text,textboxBirthday.text,Education Level,Ethnicity,English Fluency,textboxAge_2.text,textboxCountry.text,FQ1textbox.text,textboxQuestion2.text,textboxQuestion3.text,FQ4 selection,Finish.numClicks,Finish.timesOn,Finish.timesOff
205934301,1,[6.1370000000000005],[6.1370000000000005],0.313867187,-0.066736111,1,0,0,6.01,button,0,0,0,0,1,927992,001,2025-04-17_16h20.07.137,SLSINC,2022.2.5,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,927992,001,2025-04-17_16h20.07.137,SLSINC,2022.2.5,MacIntel,60.24096386,space,1.3583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,927992,001,2025-04-17_16h20.07.137,SLSINC,2022.2.5,MacIntel,60.24096386,,,space,8.0431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,927992,001,2025-04-17_16h20.07.137,SLSINC,2022.2.5,MacIntel,60.24096386,,,,,12.90729167,5.1254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,927992,001,2025-04-17_16h20.07.137,SLSINC,2022.2.5,MacIntel,60.24096386,,,,,,,8.331206597,3.6654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,927992,001,2025-04-17_16h20.07.137,SLSINC,2022.2.5,MacIntel,60.24096386,,,,,,,,,space,2.5835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,927992,001,2025-04-17_16h20.07.137,SLSINC,2022.2.5,MacIntel,60.24096386,,,,,,,,,,,1,[36.22460000002383],[36.224700000047676],,0,[],[],1,[37.85620000004767],[37.85630000007152],"[""legit_button""]",7.169314236,1.6287,3.578949653,2.0483,1.287890625,1.7296,0,0,0,5,1,resources/images/legit3.jpg,legit,1,0.73,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,927992,001,2025-04-17_16h20.07.137,SLSINC,2022.2.5,MacIntel,60.24096386,,,,,,,,,,,2,"[36.22460000002383,46.89049999999999]","[36.224700000047676,46.89060000002384]",,0,[],[],2,"[37.85620000004767,48.05660000002384]","[37.85630000007152,48.05660000002384]","[""legit_button""]",8.051171875,1.1129,4.945746528,1.7303,1.788107639,1.7483,0,1,1,3,1,resources/images/legit1.png,legit,1,0.72,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,927992,001,2025-04-17_16h20.07.137,SLSINC,2022.2.5,MacIntel,60.24096386,,,,,,,,,,,3,"[36.22460000002383,46.89049999999999,55.92429999995231]","[36.224700000047676,46.89060000002384,55.924399999976146]",,0,[],[],3,"[37.85620000004767,48.05660000002384,56.55720000004768]","[37.85630000007152,48.05660000002384,56.557300000071514]","[""legit_button""]",8.24765625,0.9292,7.692447917,1.7657,4.987977431,1.3481,0,2,2,15,1,resources/images/legit8.png,legit,0.8,0.72,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,927992,001,2025-04-17_16h20.07.137,SLSINC,2022.2.5,MacIntel,60.24096386,,,,,,,,,,,4,"[36.22460000002383,46.89049999999999,55.92429999995231,66.62470000004768]","[36.224700000047676,46.89060000002384,55.924399999976146,66.62489999997615]",,1,[67.44110000002384],[67.44119999992847],3,"[37.85620000004767,48.05660000002384,56.55720000004768]","[37.85630000007152,48.05660000002384,56.557300000071514]","[""scam_button""]",9.925130208,1.5149,4.985286458,1.8652,1.579904514,1.0994,0,3,3,16,1,resources/images/scam13.png,scam,1,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,927992,001,2025-04-17_16h20.07.137,SLSINC,2022.2.5,MacIntel,60.24096386,,,,,,,,,,,5,"[36.22460000002383,46.89049999999999,55.92429999995231,66.62470000004768,83.72570000004768]","[36.224700000047676,46.89060000002384,55.924399999976146,66.62489999997615,83.7257999999523]",,1,[67.44110000002384],[67.44119999992847],4,"[37.85620000004767,48.05660000002384,56.55720000004768,86.47490000009535]","[37.85630000007152,48.05660000002384,56.557300000071514,86.475]","[""legit_button""]",6.372916667,0.7877,3.670572917,1.4485,1.768055556,0.7485,0,4,4,11,1,resources/images/legit4-EDIT.png,legit,0.65,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,927992,001,2025-04-17_16h20.07.137,SLSINC,2022.2.5,MacIntel,60.24096386,,,,,,,,,,,6,"[36.22460000002383,46.89049999999999,55.92429999995231,66.62470000004768,83.72570000004768,105.01029999995231]","[36.224700000047676,46.89060000002384,55.924399999976146,66.62489999997615,83.7257999999523,105.01039999997616]",,1,[67.44110000002384],[67.44119999992847],5,"[37.85620000004767,48.05660000002384,56.55720000004768,86.47490000009535,106.376]","[37.85630000007152,48.05660000002384,56.557300000071514,86.475,106.37610000002385]","[""legit_button""]",7.539713542,0.5869,7.473090278,1.2136,4.599826389,0.864,0,5,5,7,1,resources/images/scam5.jpg,scam,0.7,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,927992,001,2025-04-17_16h20.07.137,SLSINC,2022.2.5,MacIntel,60.24096386,,,,,,,,,,,7,"[36.22460000002383,46.89049999999999,55.92429999995231,66.62470000004768,83.72570000004768,105.01029999995231,118.76079999995233]","[36.224700000047676,46.89060000002384,55.924399999976146,66.62489999997615,83.7257999999523,105.01039999997616,118.76079999995233]",,1,[67.44110000002384],[67.44119999992847],6,"[37.85620000004767,48.05660000002384,56.55720000004768,86.47490000009535,106.376,119.39300000000003]","[37.85630000007152,48.05660000002384,56.557300000071514,86.475,106.37610000002385,119.39300000000003]","[""legit_button""]",7.819401042,0.5535,5.926388889,0.636,3.322439236,0.4814,0,6,6,14,1,resources/images/legit7-EDIT.png,legit,0.65,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,927992,001,2025-04-17_16h20.07.137,SLSINC,2022.2.5,MacIntel,60.24096386,,,,,,,,,,,8,"[36.22460000002383,46.89049999999999,55.92429999995231,66.62470000004768,83.72570000004768,105.01029999995231,118.76079999995233,127.7287000000477]","[36.224700000047676,46.89060000002384,55.924399999976146,66.62489999997615,83.7257999999523,105.01039999997616,118.76079999995233,127.7287000000477]",,2,"[67.44110000002384,128.86079999995232]","[67.44119999992847,128.86089999997617]",6,"[37.85620000004767,48.05660000002384,56.55720000004768,86.47490000009535,106.376,119.39300000000003]","[37.85630000007152,48.05660000002384,56.557300000071514,86.475,106.37610000002385,119.39300000000003]","[""scam_button""]",8.065060764,0.9141,4.070616319,1.0147,2.039149306,0.5337,0,7,7,2,1,resources/images/scam3.png,scam,1.2,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,927992,001,2025-04-17_16h20.07.137,SLSINC,2022.2.5,MacIntel,60.24096386,,,,,,,,,,,9,"[36.22460000002383,46.89049999999999,55.92429999995231,66.62470000004768,83.72570000004768,105.01029999995231,118.76079999995233,127.7287000000477,148.86279999995233]","[36.224700000047676,46.89060000002384,55.924399999976146,66.62489999997615,83.7257999999523,105.01039999997616,118.76079999995233,127.7287000000477,148.86279999995233]",,2,"[67.44110000002384,128.86079999995232]","[67.44119999992847,128.86089999997617]",7,"[37.85620000004767,48.05660000002384,56.55720000004768,86.47490000009535,106.376,119.39300000000003,152.86160000002386]","[37.85630000007152,48.05660000002384,56.557300000071514,86.475,106.37610000002385,119.39300000000003,152.86160000002386]","[""legit_button""]",2.628776042,1.2457,2.354296875,1.0814,2.354296875,0.432,0,8,8,18,1,resources/images/legit10-EDIT.png,legit,1,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,927992,001,2025-04-17_16h20.07.137,SLSINC,2022.2.5,MacIntel,60.24096386,,,,,,,,,,,10,"[36.22460000002383,46.89049999999999,55.92429999995231,66.62470000004768,83.72570000004768,105.01029999995231,118.76079999995233,127.7287000000477,148.86279999995233,162.163]","[36.224700000047676,46.89060000002384,55.924399999976146,66.62489999997615,83.7257999999523,105.01039999997616,118.76079999995233,127.7287000000477,148.86279999995233,162.16310000002386]",,2,"[67.44110000002384,128.86079999995232]","[67.44119999992847,128.86089999997617]",8,"[37.85620000004767,48.05660000002384,56.55720000004768,86.47490000009535,106.376,119.39300000000003,152.86160000002386,162.7117000000477]","[37.85630000007152,48.05660000002384,56.557300000071514,86.475,106.37610000002385,119.39300000000003,152.86160000002386,162.71180000007155]","[""legit_button""]",7.196267361,1.0822,3.393576389,0.9649,2.496397569,0.436,0,9,9,22,1,resources/images/legit17-EDIT.png,legit,0.65,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,927992,001,2025-04-17_16h20.07.137,SLSINC,2022.2.5,MacIntel,60.24096386,,,,,,,,,,,11,"[36.22460000002383,46.89049999999999,55.92429999995231,66.62470000004768,83.72570000004768,105.01029999995231,118.76079999995233,127.7287000000477,148.86279999995233,162.163,181.5475]","[36.224700000047676,46.89060000002384,55.924399999976146,66.62489999997615,83.7257999999523,105.01039999997616,118.76079999995233,127.7287000000477,148.86279999995233,162.16310000002386,181.54760000002383]",,3,"[67.44110000002384,128.86079999995232,182.91310000002386]","[67.44119999992847,128.86089999997617,182.91310000002386]",8,"[37.85620000004767,48.05660000002384,56.55720000004768,86.47490000009535,106.376,119.39300000000003,152.86160000002386,162.7117000000477]","[37.85630000007152,48.05660000002384,56.557300000071514,86.475,106.37610000002385,119.39300000000003,152.86160000002386,162.71180000007155]","[""scam_button""]",4.054123264,1.3856,3.538498264,0.6639,2.835329861,0.4318,0,10,10,23,1,resources/images/scam14-EDIT.png,scam,1,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,927992,001,2025-04-17_16h20.07.137,SLSINC,2022.2.5,MacIntel,60.24096386,,,,,,,,,,,12,"[36.22460000002383,46.89049999999999,55.92429999995231,66.62470000004768,83.72570000004768,105.01029999995231,118.76079999995233,127.7287000000477,148.86279999995233,162.163,181.5475,198.98139999997616]","[36.224700000047676,46.89060000002384,55.924399999976146,66.62489999997615,83.7257999999523,105.01039999997616,118.76079999995233,127.7287000000477,148.86279999995233,162.16310000002386,181.54760000002383,198.9815]",,3,"[67.44110000002384,128.86079999995232,182.91310000002386]","[67.44119999992847,128.86089999997617,182.91310000002386]",9,"[37.85620000004767,48.05660000002384,56.55720000004768,86.47490000009535,106.376,119.39300000000003,152.86160000002386,162.7117000000477,199.447]","[37.85630000007152,48.05660000002384,56.557300000071514,86.475,106.37610000002385,119.39300000000003,152.86160000002386,162.71180000007155,199.447]","[""legit_button""]",6.340538194,1.0835,3.873784722,1.6137,1.811371528,0.4313,0,11,11,17,1,resources/images/scam10.jpg,scam,1,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,927992,001,2025-04-17_16h20.07.137,SLSINC,2022.2.5,MacIntel,60.24096386,,,,,,,,,,,13,"[36.22460000002383,46.89049999999999,55.92429999995231,66.62470000004768,83.72570000004768,105.01029999995231,118.76079999995233,127.7287000000477,148.86279999995233,162.163,181.5475,198.98139999997616,217.19860000002384]","[36.224700000047676,46.89060000002384,55.924399999976146,66.62489999997615,83.7257999999523,105.01039999997616,118.76079999995233,127.7287000000477,148.86279999995233,162.16310000002386,181.54760000002383,198.9815,217.19860000002384]",,3,"[67.44110000002384,128.86079999995232,182.91310000002386]","[67.44119999992847,128.86089999997617,182.91310000002386]",10,"[37.85620000004767,48.05660000002384,56.55720000004768,86.47490000009535,106.376,119.39300000000003,152.86160000002386,162.7117000000477,199.447,219.048]","[37.85630000007152,48.05660000002384,56.557300000071514,86.475,106.37610000002385,119.39300000000003,152.86160000002386,162.71180000007155,199.447,219.048]","[""legit_button""]",5.938151042,0.7972,3.177473958,0.8885,2.355946181,0.42,0,12,12,9,1,resources/images/scam6.jpg,scam,1,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,927992,001,2025-04-17_16h20.07.137,SLSINC,2022.2.5,MacIntel,60.24096386,,,,,,,,,,,14,"[36.22460000002383,46.89049999999999,55.92429999995231,66.62470000004768,83.72570000004768,105.01029999995231,118.76079999995233,127.7287000000477,148.86279999995233,162.163,181.5475,198.98139999997616,217.19860000002384,226.60329999995233]","[36.224700000047676,46.89060000002384,55.924399999976146,66.62489999997615,83.7257999999523,105.01039999997616,118.76079999995233,127.7287000000477,148.86279999995233,162.16310000002386,181.54760000002383,198.9815,217.19860000002384,226.60410000002386]",,4,"[67.44110000002384,128.86079999995232,182.91310000002386,227.08169999992847]","[67.44119999992847,128.86089999997617,182.91310000002386,227.08179999995232]",10,"[37.85620000004767,48.05660000002384,56.55720000004768,86.47490000009535,106.376,119.39300000000003,152.86160000002386,162.7117000000477,199.447,219.048]","[37.85630000007152,48.05660000002384,56.557300000071514,86.475,106.37610000002385,119.39300000000003,152.86160000002386,162.71180000007155,199.447,219.048]","[""scam_button""]",3.151345486,0.548,2.962022569,0.4648,2.962022569,0.2646,0,13,13,6,1,resources/images/scam4.png,scam,0.8,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,927992,001,2025-04-17_16h20.07.137,SLSINC,2022.2.5,MacIntel,60.24096386,,,,,,,,,,,15,"[36.22460000002383,46.89049999999999,55.92429999995231,66.62470000004768,83.72570000004768,105.01029999995231,118.76079999995233,127.7287000000477,148.86279999995233,162.163,181.5475,198.98139999997616,217.19860000002384,226.60329999995233,245.00000000000003]","[36.224700000047676,46.89060000002384,55.924399999976146,66.62489999997615,83.7257999999523,105.01039999997616,118.76079999995233,127.7287000000477,148.86279999995233,162.16310000002386,181.54760000002383,198.9815,217.19860000002384,226.60410000002386,245.00000000000003]",,5,"[67.44110000002384,128.86079999995232,182.91310000002386,227.08169999992847,245.98260000002384]","[67.44119999992847,128.86089999997617,182.91310000002386,227.08179999995232,245.98269999992849]",10,"[37.85620000004767,48.05660000002384,56.55720000004768,86.47490000009535,106.376,119.39300000000003,152.86160000002386,162.7117000000477,199.447,219.048]","[37.85630000007152,48.05660000002384,56.557300000071514,86.475,106.37610000002385,119.39300000000003,152.86160000002386,162.71180000007155,199.447,219.048]","[""scam_button""]",4.712282986,1.2982,3.84375,0.4991,2.161154514,0.4469,0,14,14,1,1,resources/images/scam_2.png,scam,0.9,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
