bruinID.text,button.numClicks,button.timesOn,button.timesOff,mouseLogIn.x,mouseLogIn.y,mouseLogIn.leftButton,mouseLogIn.midButton,mouseLogIn.rightButton,mouseLogIn.time,mouseLogIn.clicked_name,session,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,subjage_slider.response,subjage_slider.rt,confidence_scale.response,confidence_scale.rt,key_resp_7.keys,key_resp_7.rt,button_2.numClicks,button_2.timesOn,button_2.timesOff,email_type,scam_button.numClicks,scam_button.timesOn,scam_button.timesOff,legit_button.numClicks,legit_button.timesOn,legit_button.timesOff,button_selections_1,confidence_scale_email.response,confidence_scale_email.rt,personal_rel_scale.response,personal_rel_scale.rt,curiosity_scale.response,curiosity_scale.rt,email_loop.thisRepN,email_loop.thisTrialN,email_loop.thisN,email_loop.thisIndex,email_loop.ran,emails,type,xsize,ysize,xpos,ypos,key_resp_8.keys,key_resp_8.rt,button_3.numClicks,button_3.timesOn,button_3.timesOff,button_4.numClicks,button_4.timesOn,button_4.timesOff,button_5.numClicks,button_5.timesOn,button_5.timesOff,email_loops2.thisRepN,email_loops2.thisTrialN,email_loops2.thisN,email_loops2.thisIndex,email_loops2.ran,key_resp_3.keys,key_resp_3.rt,slider1_2.response,slider1_2.rt,trust_question,loop_GT.thisRepN,loop_GT.thisTrialN,loop_GT.thisN,loop_GT.thisIndex,loop_GT.ran,Phrases,instructionresp_2.keys,instructionresp_2.rt,key_resp_13.keys,key_resp_13.rt,gen_question,loop_G.thisRepN,loop_G.thisTrialN,loop_G.thisN,loop_G.thisIndex,loop_G.ran,Questions,instructionresp.keys,instructionresp.rt,key_resp_2.keys,key_resp_2.rt,lonely_question,loop_LS.thisRepN,loop_LS.thisTrialN,loop_LS.thisN,loop_LS.thisIndex,loop_LS.ran,key_resp_4.keys,key_resp_4.rt,rating.response,rating.rt,dementia_question,loop_dm.thisRepN,loop_dm.thisTrialN,loop_dm.thisN,loop_dm.thisIndex,loop_dm.ran,Items,key_resp.keys,key_resp.rt,slider1.response,slider1.rt,ss_question,loop_SS.thisRepN,loop_SS.thisTrialN,loop_SS.thisN,loop_SS.thisIndex,loop_SS.ran,Statements,slider.response,slider.rt,Gender,textboxAge.text,textboxBirthday.text,Education Level,Ethnicity,English Fluency,textboxAge_2.text,textboxCountry.text,FQ1textbox.text,textboxQuestion2.text,textboxQuestion3.text,FQ4 selection,Finish.numClicks,Finish.timesOn,Finish.timesOff
,,,,,,,,,,,001,2025-05-08_19h04.00.382,SLSIC2_O,2022.2.5,Win32,59.52380952,,,,,,,,,,,5,"[199.41800000000006,237.12010000000015,276.4075,315.66780000000006,340.8843000000001]","[199.41800000000006,237.1202,276.4076000000001,315.66800000000006,340.88439999999997]",,3,"[202.7344000000002,278.30150000000003,316.59450000000004]","[202.73460000000014,278.3016000000001,316.5946000000001]",2,"[239.73160000000013,341.80980000000005]","[239.73160000000013,341.8098999999999]","[""legit_button""]",6.890048188,1.0676,7.023320518,0.7545,6.635618488,0.7081,0,4,4,23,1,resources/images/scam_22.png,scam,1,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,001,2025-05-08_19h04.00.382,SLSIC2_O,2022.2.5,Win32,59.52380952,,,,,,,,,,,6,"[199.41800000000006,237.12010000000015,276.4075,315.66780000000006,340.8843000000001,358.82189999999997]","[199.41800000000006,237.1202,276.4076000000001,315.66800000000006,340.88439999999997,358.82200000000006]",,4,"[202.7344000000002,278.30150000000003,316.59450000000004,360.4821000000002]","[202.73460000000014,278.3016000000001,316.5946000000001,360.48220000000003]",2,"[239.73160000000013,341.80980000000005]","[239.73160000000013,341.8098999999999]","[""scam_button""]",6.369072719,0.8881,6.090411989,1.1909,7.350444417,1.3188,0,5,5,5,1,resources/images/legit12.jpg,legit,1,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,001,2025-05-08_19h04.00.382,SLSIC2_O,2022.2.5,Win32,59.52380952,,,,,,,,,,,7,"[199.41800000000006,237.12010000000015,276.4075,315.66780000000006,340.8843000000001,358.82189999999997,381.6386000000001]","[199.41800000000006,237.1202,276.4076000000001,315.66800000000006,340.88439999999997,358.82200000000006,381.6387]",,5,"[202.7344000000002,278.30150000000003,316.59450000000004,360.4821000000002,382.7351000000001]","[202.73460000000014,278.3016000000001,316.5946000000001,360.48220000000003,382.73540000000014]",2,"[239.73160000000013,341.80980000000005]","[239.73160000000013,341.8098999999999]","[""scam_button""]",3.982280194,0.9669,2.625321427,0.5216,4.127668594,0.8456,0,6,6,17,1,resources/images/legitimate_18.png,legit,1,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,001,2025-05-08_19h04.00.382,SLSIC2_O,2022.2.5,Win32,59.52380952,,,,,,,,,,,8,"[199.41800000000006,237.12010000000015,276.4075,315.66780000000006,340.8843000000001,358.82189999999997,381.6386000000001,400.4511000000001]","[199.41800000000006,237.1202,276.4076000000001,315.66800000000006,340.88439999999997,358.82200000000006,381.6387,400.4512]",,6,"[202.7344000000002,278.30150000000003,316.59450000000004,360.4821000000002,382.7351000000001,406.8021000000001]","[202.73460000000014,278.3016000000001,316.5946000000001,360.48220000000003,382.73540000000014,406.8021000000001]",2,"[239.73160000000013,341.80980000000005]","[239.73160000000013,341.8098999999999]","[""scam_button""]",7.192940502,1.5383,7.326213387,0.9361,7.350444417,0.5625,0,7,7,0,1,resources/images/scam8.jpg,scam,0.65,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,001,2025-05-08_19h04.00.382,SLSIC2_O,2022.2.5,Win32,59.52380952,,,,,,,,,,,9,"[199.41800000000006,237.12010000000015,276.4075,315.66780000000006,340.8843000000001,358.82189999999997,381.6386000000001,400.4511000000001,429.38110000000006]","[199.41800000000006,237.1202,276.4076000000001,315.66800000000006,340.88439999999997,358.82200000000006,381.6387,400.4512,429.3811999999999]",,7,"[202.7344000000002,278.30150000000003,316.59450000000004,360.4821000000002,382.7351000000001,406.8021000000001,430.3204999999999]","[202.73460000000014,278.3016000000001,316.5946000000001,360.48220000000003,382.73540000000014,406.8021000000001,430.3206]",2,"[239.73160000000013,341.80980000000005]","[239.73160000000013,341.8098999999999]","[""scam_button""]",5.957139105,1.7963,3.655156295,0.7558,6.126759089,0.546,0,8,8,11,1,resources/images/scam16.png,scam,0.65,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,001,2025-05-08_19h04.00.382,SLSIC2_O,2022.2.5,Win32,59.52380952,,,,,,,,,,,10,"[199.41800000000006,237.12010000000015,276.4075,315.66780000000006,340.8843000000001,358.82189999999997,381.6386000000001,400.4511000000001,429.38110000000006,447.0195]","[199.41800000000006,237.1202,276.4076000000001,315.66800000000006,340.88439999999997,358.82200000000006,381.6387,400.4512,429.3811999999999,447.0196000000001]",,7,"[202.7344000000002,278.30150000000003,316.59450000000004,360.4821000000002,382.7351000000001,406.8021000000001,430.3204999999999]","[202.73460000000014,278.3016000000001,316.5946000000001,360.48220000000003,382.73540000000014,406.8021000000001,430.3206]",3,"[239.73160000000013,341.80980000000005,451.1761]","[239.73160000000013,341.8098999999999,451.1761999999999]","[""legit_button""]",7.314097317,1.286,7.968345116,1.4052,7.665453356,1.2218,0,9,9,16,1,resources/images/legit_30.png,legit,1,0.85,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,001,2025-05-08_19h04.00.382,SLSIC2_O,2022.2.5,Win32,59.52380952,,,,,,,,,,,11,"[199.41800000000006,237.12010000000015,276.4075,315.66780000000006,340.8843000000001,358.82189999999997,381.6386000000001,400.4511000000001,429.38110000000006,447.0195,469.93280000000004]","[199.41800000000006,237.1202,276.4076000000001,315.66800000000006,340.88439999999997,358.82200000000006,381.6387,400.4512,429.3811999999999,447.0196000000001,469.93280000000004]",,7,"[202.7344000000002,278.30150000000003,316.59450000000004,360.4821000000002,382.7351000000001,406.8021000000001,430.3204999999999]","[202.73460000000014,278.3016000000001,316.5946000000001,360.48220000000003,382.73540000000014,406.8021000000001,430.3206]",4,"[239.73160000000013,341.80980000000005,451.1761,471.20989999999983]","[239.73160000000013,341.8098999999999,451.1761999999999,471.2101]","[""legit_button""]",6.865816603,1.2525,7.168708917,1.3944,7.968345116,0.8892,0,10,10,3,1,resources/images/legit_20.png,legit,0.9,0.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,001,2025-05-08_19h04.00.382,SLSIC2_O,2022.2.5,Win32,59.52380952,,,,,,,,,,,12,"[199.41800000000006,237.12010000000015,276.4075,315.66780000000006,340.8843000000001,358.82189999999997,381.6386000000001,400.4511000000001,429.38110000000006,447.0195,469.93280000000004,485.9203]","[199.41800000000006,237.1202,276.4076000000001,315.66800000000006,340.88439999999997,358.82200000000006,381.6387,400.4512,429.3811999999999,447.0196000000001,469.93280000000004,485.9206999999999]",,7,"[202.7344000000002,278.30150000000003,316.59450000000004,360.4821000000002,382.7351000000001,406.8021000000001,430.3204999999999]","[202.73460000000014,278.3016000000001,316.5946000000001,360.48220000000003,382.73540000000014,406.8021000000001,430.3206]",5,"[239.73160000000013,341.80980000000005,451.1761,471.20989999999983,489.9675]","[239.73160000000013,341.8098999999999,451.1761999999999,471.2101,489.9678999999999]","[""legit_button""]",6.938510803,5.7614,6.029833305,1.1489,6.465998504,1.5123,0,11,11,22,1,resources/images/scam_24.png,scam,1,0.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,001,2025-05-08_19h04.00.382,SLSIC2_O,2022.2.5,Win32,59.52380952,,,,,,,,,,,13,"[199.41800000000006,237.12010000000015,276.4075,315.66780000000006,340.8843000000001,358.82189999999997,381.6386000000001,400.4511000000001,429.38110000000006,447.0195,469.93280000000004,485.9203,515.8015]","[199.41800000000006,237.1202,276.4076000000001,315.66800000000006,340.88439999999997,358.82200000000006,381.6387,400.4512,429.3811999999999,447.0196000000001,469.93280000000004,485.9206999999999,515.8018000000001]",,7,"[202.7344000000002,278.30150000000003,316.59450000000004,360.4821000000002,382.7351000000001,406.8021000000001,430.3204999999999]","[202.73460000000014,278.3016000000001,316.5946000000001,360.48220000000003,382.73540000000014,406.8021000000001,430.3206]",6,"[239.73160000000013,341.80980000000005,451.1761,471.20989999999983,489.9675,517.346]","[239.73160000000013,341.8098999999999,451.1761999999999,471.2101,489.9678999999999,517.346]","[""legit_button""]",7.386791517,0.8685,7.713915416,1.4465,7.132361817,0.8392,0,12,12,7,1,resources/images/legit_21.png,legit,0.8,0.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,001,2025-05-08_19h04.00.382,SLSIC2_O,2022.2.5,Win32,59.52380952,,,,,,,,,,,14,"[199.41800000000006,237.12010000000015,276.4075,315.66780000000006,340.8843000000001,358.82189999999997,381.6386000000001,400.4511000000001,429.38110000000006,447.0195,469.93280000000004,485.9203,515.8015,541.8961]","[199.41800000000006,237.1202,276.4076000000001,315.66800000000006,340.88439999999997,358.82200000000006,381.6387,400.4512,429.3811999999999,447.0196000000001,469.93280000000004,485.9206999999999,515.8018000000001,541.8961999999999]",,7,"[202.7344000000002,278.30150000000003,316.59450000000004,360.4821000000002,382.7351000000001,406.8021000000001,430.3204999999999]","[202.73460000000014,278.3016000000001,316.5946000000001,360.48220000000003,382.73540000000014,406.8021000000001,430.3206]",7,"[239.73160000000013,341.80980000000005,451.1761,471.20989999999983,489.9675,517.346,544.9498999999998]","[239.73160000000013,341.8098999999999,451.1761999999999,471.2101,489.9678999999999,517.346,544.9499999999999]","[""legit_button""]",6.890048188,0.9022,7.180824987,0.7529,9.082990253,0.5704,0,13,13,13,1,resources/images/legit15.jpg,legit,0.95,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
