bruinID.text,button.numClicks,button.timesOn,button.timesOff,mouseLogIn.x,mouseLogIn.y,mouseLogIn.leftButton,mouseLogIn.midButton,mouseLogIn.rightButton,mouseLogIn.time,mouseLogIn.clicked_name,repeat.thisRepN,repeat.thisTrialN,repeat.thisN,repeat.thisIndex,repeat.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,subjage_slider.response,subjage_slider.rt,confidence_scale.response,confidence_scale.rt,key_resp_7.keys,key_resp_7.rt,button_2.numClicks,button_2.timesOn,button_2.timesOff,email_type,scam_button.numClicks,scam_button.timesOn,scam_button.timesOff,legit_button.numClicks,legit_button.timesOn,legit_button.timesOff,button_selections_1,confidence_scale_email.response,confidence_scale_email.rt,personal_rel_scale.response,personal_rel_scale.rt,curiosity_scale.response,curiosity_scale.rt,email_loop.thisRepN,email_loop.thisTrialN,email_loop.thisN,email_loop.thisIndex,email_loop.ran,emails,type,xsize,ysize,xpos,ypos,key_resp_8.keys,key_resp_8.rt,button_3.numClicks,button_3.timesOn,button_3.timesOff,button_4.numClicks,button_4.timesOn,button_4.timesOff,button_5.numClicks,button_5.timesOn,button_5.timesOff,email_loops2.thisRepN,email_loops2.thisTrialN,email_loops2.thisN,email_loops2.thisIndex,email_loops2.ran,key_resp_3.keys,key_resp_3.rt,slider1_2.response,slider1_2.rt,trust_question,loop_GT.thisRepN,loop_GT.thisTrialN,loop_GT.thisN,loop_GT.thisIndex,loop_GT.ran,Phrases,instructionresp_2.keys,instructionresp_2.rt,key_resp_13.keys,key_resp_13.rt,gen_question,loop_G.thisRepN,loop_G.thisTrialN,loop_G.thisN,loop_G.thisIndex,loop_G.ran,Questions,instructionresp.keys,instructionresp.rt,key_resp_2.keys,key_resp_2.rt,lonely_question,loop_LS.thisRepN,loop_LS.thisTrialN,loop_LS.thisN,loop_LS.thisIndex,loop_LS.ran,key_resp_4.keys,key_resp_4.rt,rating.response,rating.rt,dementia_question,loop_dm.thisRepN,loop_dm.thisTrialN,loop_dm.thisN,loop_dm.thisIndex,loop_dm.ran,Items,key_resp.keys,key_resp.rt,slider1.response,slider1.rt,ss_question,loop_SS.thisRepN,loop_SS.thisTrialN,loop_SS.thisN,loop_SS.thisIndex,loop_SS.ran,Statements,slider.response,slider.rt,Gender,textboxAge.text,textboxBirthday.text,Education Level,Ethnicity,English Fluency,textboxAge_2.text,textboxCountry.text,FQ1textbox.text,textboxQuestion2.text,textboxQuestion3.text,FQ4 selection,Finish.numClicks,Finish.timesOn,Finish.timesOff
406045236,1,[14.260299999952313],[14.260299999952313],0.308333362,-0.087962963,1,0,0,14.1115,button,0,0,0,0,1,128515,001,2025-04-15_20h57.42.611,SLSIC,2022.2.5,Win32,163.9344262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,128515,001,2025-04-15_20h57.42.611,SLSIC,2022.2.5,Win32,163.9344262,space,7.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,128515,001,2025-04-15_20h57.42.611,SLSIC,2022.2.5,Win32,163.9344262,,,space,3.7182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,128515,001,2025-04-15_20h57.42.611,SLSIC,2022.2.5,Win32,163.9344262,,,,,16.77778032,3.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,128515,001,2025-04-15_20h57.42.611,SLSIC,2022.2.5,Win32,163.9344262,,,,,,,8.953703421,47.3705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,128515,001,2025-04-15_20h57.42.611,SLSIC,2022.2.5,Win32,163.9344262,,,,,,,,,space,131.1491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,128515,001,2025-04-15_20h57.42.611,SLSIC,2022.2.5,Win32,163.9344262,,,,,,,,,,,1,[230.39620000004768],[230.39620000004768],,1,[231.383],[231.383],0,[],[],"[""scam_button""]",6.972222505,4.0503,5.953703986,4.6685,3.972222364,3.5955,0,0,0,23,1,resources/images/scam14-EDIT.png,scam,1,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,128515,001,2025-04-15_20h57.42.611,SLSIC,2022.2.5,Win32,163.9344262,,,,,,,,,,,2,"[230.39620000004768,249.41580000007153]","[230.39620000004768,249.41580000007153]",,2,"[231.383,250.29149999999996]","[231.383,250.29149999999996]",0,[],[],"[""scam_button""]",9.101852134,2.141,8.083333616,3.9869,1.972222152,3.4172,0,1,1,6,1,resources/images/scam4.png,scam,0.8,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,128515,001,2025-04-15_20h57.42.611,SLSIC,2022.2.5,Win32,163.9344262,,,,,,,,,,,3,"[230.39620000004768,249.41580000007153,279.16420000004763]","[230.39620000004768,249.41580000007153,279.1643000000715]",,3,"[231.383,250.29149999999996,280.1815]","[231.383,250.29149999999996,280.1816000000239]",0,[],[],"[""scam_button""]",6.962963387,1.8835,5.925925926,4.5796,2.990741023,7.3376,0,2,2,20,1,resources/images/scam12.jpg,scam,0.65,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,128515,001,2025-04-15_20h57.42.611,SLSIC,2022.2.5,Win32,163.9344262,,,,,,,,,,,4,"[230.39620000004768,249.41580000007153,279.16420000004763,304.38170000004766]","[230.39620000004768,249.41580000007153,279.1643000000715,304.38170000004766]",,3,"[231.383,250.29149999999996,280.1815]","[231.383,250.29149999999996,280.1816000000239]",1,[305.1805],[305.1805],"[""legit_button""]",6.990740741,2.5893,9.981481764,3.8348,4.981481764,2.5366,0,3,3,14,1,resources/images/legit7-EDIT.png,legit,0.65,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,128515,001,2025-04-15_20h57.42.611,SLSIC,2022.2.5,Win32,163.9344262,,,,,,,,,,,5,"[230.39620000004768,249.41580000007153,279.16420000004763,304.38170000004766,317.3328000000715]","[230.39620000004768,249.41580000007153,279.1643000000715,304.38170000004766,317.3329000000953]",,3,"[231.383,250.29149999999996,280.1815]","[231.383,250.29149999999996,280.1816000000239]",2,"[305.1805,317.95]","[305.1805,317.95010000002384]","[""legit_button""]",7.814814956,1.7343,7.907407549,1.5681,6.037037461,1.0102,0,4,4,16,1,resources/images/scam13.png,scam,1,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,128515,001,2025-04-15_20h57.42.611,SLSIC,2022.2.5,Win32,163.9344262,,,,,,,,,,,6,"[230.39620000004768,249.41580000007153,279.16420000004763,304.38170000004766,317.3328000000715,330.41730000007146]","[230.39620000004768,249.41580000007153,279.1643000000715,304.38170000004766,317.3329000000953,330.41730000007146]",,3,"[231.383,250.29149999999996,280.1815]","[231.383,250.29149999999996,280.1816000000239]",3,"[305.1805,317.95,331.2646000000238]","[305.1805,317.95010000002384,331.2646000000238]","[""legit_button""]",7.046296155,1.5565,7.333333757,1.3238,6.009259401,1.8966,0,5,5,22,1,resources/images/legit17-EDIT.png,legit,0.65,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,128515,001,2025-04-15_20h57.42.611,SLSIC,2022.2.5,Win32,163.9344262,,,,,,,,,,,7,"[230.39620000004768,249.41580000007153,279.16420000004763,304.38170000004766,317.3328000000715,330.41730000007146,366.96780000007146]","[230.39620000004768,249.41580000007153,279.1643000000715,304.38170000004766,317.3329000000953,330.41730000007146,366.9679000000953]",,4,"[231.383,250.29149999999996,280.1815,371.00329999995233]","[231.383,250.29149999999996,280.1816000000239,371.00329999995233]",3,"[305.1805,317.95,331.2646000000238]","[305.1805,317.95010000002384,331.2646000000238]","[""scam_button""]",7.046296155,5.4872,6.092592875,2.4319,2.916666667,2.3591,0,6,6,0,1,resources/images/scam_1.png,scam,1,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,128515,001,2025-04-15_20h57.42.611,SLSIC,2022.2.5,Win32,163.9344262,,,,,,,,,,,8,"[230.39620000004768,249.41580000007153,279.16420000004763,304.38170000004766,317.3328000000715,330.41730000007146,366.96780000007146,393.53070000004766]","[230.39620000004768,249.41580000007153,279.1643000000715,304.38170000004766,317.3329000000953,330.41730000007146,366.9679000000953,393.53070000004766]",,4,"[231.383,250.29149999999996,280.1815,371.00329999995233]","[231.383,250.29149999999996,280.1816000000239,371.00329999995233]",4,"[305.1805,317.95,331.2646000000238,393.9537999999523]","[305.1805,317.95010000002384,331.2646000000238,393.9537999999523]","[""legit_button""]",6.981481623,1.3665,5.990741165,10.2283,4.055555838,1.9378,0,7,7,11,1,resources/images/legit4-EDIT.png,legit,0.65,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,128515,001,2025-04-15_20h57.42.611,SLSIC,2022.2.5,Win32,163.9344262,,,,,,,,,,,9,"[230.39620000004768,249.41580000007153,279.16420000004763,304.38170000004766,317.3328000000715,330.41730000007146,366.96780000007146,393.53070000004766,492.5946000000238]","[230.39620000004768,249.41580000007153,279.1643000000715,304.38170000004766,317.3329000000953,330.41730000007146,366.9679000000953,393.53070000004766,492.5946000000238]",,4,"[231.383,250.29149999999996,280.1815,371.00329999995233]","[231.383,250.29149999999996,280.1816000000239,371.00329999995233]",5,"[305.1805,317.95,331.2646000000238,393.9537999999523,493.2902999999523]","[305.1805,317.95010000002384,331.2646000000238,393.9537999999523,493.29039999997616]","[""legit_button""]",7.981481199,2.9141,7.027777919,1.4637,7.027777919,1.3574,0,8,8,8,1,resources/images/legit9-EDIT.png,legit,1,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
