bruinID.text,button.numClicks,button.timesOn,button.timesOff,mouseLogIn.x,mouseLogIn.y,mouseLogIn.leftButton,mouseLogIn.midButton,mouseLogIn.rightButton,mouseLogIn.time,mouseLogIn.clicked_name,repeat.thisRepN,repeat.thisTrialN,repeat.thisN,repeat.thisIndex,repeat.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,subjage_slider.response,subjage_slider.rt,confidence_scale.response,confidence_scale.rt,key_resp_7.keys,key_resp_7.rt,button_2.numClicks,button_2.timesOn,button_2.timesOff,email_type,scam_button.numClicks,scam_button.timesOn,scam_button.timesOff,legit_button.numClicks,legit_button.timesOn,legit_button.timesOff,button_selections_1,confidence_scale_email.response,confidence_scale_email.rt,personal_rel_scale.response,personal_rel_scale.rt,curiosity_scale.response,curiosity_scale.rt,email_loop.thisRepN,email_loop.thisTrialN,email_loop.thisN,email_loop.thisIndex,email_loop.ran,emails,type,xsize,ysize,xpos,ypos,key_resp_8.keys,key_resp_8.rt,button_3.numClicks,button_3.timesOn,button_3.timesOff,button_4.numClicks,button_4.timesOn,button_4.timesOff,button_5.numClicks,button_5.timesOn,button_5.timesOff,email_loops2.thisRepN,email_loops2.thisTrialN,email_loops2.thisN,email_loops2.thisIndex,email_loops2.ran,key_resp_3.keys,key_resp_3.rt,slider1_2.response,slider1_2.rt,trust_question,loop_GT.thisRepN,loop_GT.thisTrialN,loop_GT.thisN,loop_GT.thisIndex,loop_GT.ran,Phrases,instructionresp_2.keys,instructionresp_2.rt,key_resp_13.keys,key_resp_13.rt,gen_question,loop_G.thisRepN,loop_G.thisTrialN,loop_G.thisN,loop_G.thisIndex,loop_G.ran,Questions,instructionresp.keys,instructionresp.rt,key_resp_2.keys,key_resp_2.rt,lonely_question,loop_LS.thisRepN,loop_LS.thisTrialN,loop_LS.thisN,loop_LS.thisIndex,loop_LS.ran,key_resp_4.keys,key_resp_4.rt,rating.response,rating.rt,dementia_question,loop_dm.thisRepN,loop_dm.thisTrialN,loop_dm.thisN,loop_dm.thisIndex,loop_dm.ran,Items,key_resp.keys,key_resp.rt,slider1.response,slider1.rt,ss_question,loop_SS.thisRepN,loop_SS.thisTrialN,loop_SS.thisN,loop_SS.thisIndex,loop_SS.ran,Statements,Gender,textboxAge.text,textboxBirthday.text,Education Level,Ethnicity,English Fluency,textboxAge_2.text,textboxCountry.text,FQ1textbox.text,textboxQuestion2.text,textboxQuestion3.text,FQ4 selection,Finish.numClicks,Finish.timesOn,Finish.timesOff
,,,,,,,,,,,,,,,,609289,001,2025-02-19_16h01.55.134,SLSIC,2022.2.5,MacIntel,59.17159763,,,,,,,,,,,5,"[39.094199999988085,42.62989999997616,45.51389999997617,48.776,57.160699999988076]","[39.094199999988085,42.62989999997616,45.51389999997617,48.776,57.160800000011925]",,4,"[39.773500000000006,43.244600000023844,46.16250000000001,49.33460000002384]","[39.773500000000006,43.244600000023844,46.16250000000001,49.33469999998809]",1,[58.06010000002384],[58.06010000002384],"[""legit_button""]",6.057096354,0.5734,6.057096354,0.2237,6.057096354,0.2725,0,4,4,15,1,resources/images/legit8.png,legit,0.65,0.72,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,609289,001,2025-02-19_16h01.55.134,SLSIC,2022.2.5,MacIntel,59.17159763,,,,,,,,,,,6,"[39.094199999988085,42.62989999997616,45.51389999997617,48.776,57.160699999988076,60.08160000002385]","[39.094199999988085,42.62989999997616,45.51389999997617,48.776,57.160800000011925,60.08160000002385]",,5,"[39.773500000000006,43.244600000023844,46.16250000000001,49.33460000002384,61.22430000001192]","[39.773500000000006,43.244600000023844,46.16250000000001,49.33469999998809,61.22430000001192]",1,[58.06010000002384],[58.06010000002384],"[""scam_button""]",3.206469727,0.5931,3.206469727,0.1997,3.206469727,0.296,0,5,5,21,1,resources/images/legit14-EDIT.jpg,legit,1,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,609289,001,2025-02-19_16h01.55.134,SLSIC,2022.2.5,MacIntel,59.17159763,,,,,,,,,,,7,"[39.094199999988085,42.62989999997616,45.51389999997617,48.776,57.160699999988076,60.08160000002385,63.60360000002384]","[39.094199999988085,42.62989999997616,45.51389999997617,48.776,57.160800000011925,60.08160000002385,63.60360000002384]",,6,"[39.773500000000006,43.244600000023844,46.16250000000001,49.33460000002384,61.22430000001192,64.20139999997616]","[39.773500000000006,43.244600000023844,46.16250000000001,49.33469999998809,61.22430000001192,64.20139999997616]",1,[58.06010000002384],[58.06010000002384],"[""scam_button""]",2.677778117,0.8813,2.680990601,0.3888,2.680990601,0.2394,0,6,6,16,1,resources/images/scam13.png,scam,1,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,609289,001,2025-02-19_16h01.55.134,SLSIC,2022.2.5,MacIntel,59.17159763,,,,,,,,,,,8,"[39.094199999988085,42.62989999997616,45.51389999997617,48.776,57.160699999988076,60.08160000002385,63.60360000002384,66.72]","[39.094199999988085,42.62989999997616,45.51389999997617,48.776,57.160800000011925,60.08160000002385,63.60360000002384,66.72]",,7,"[39.773500000000006,43.244600000023844,46.16250000000001,49.33460000002384,61.22430000001192,64.20139999997616,67.32260000002384]","[39.773500000000006,43.244600000023844,46.16250000000001,49.33469999998809,61.22430000001192,64.20139999997616,67.32269999998809]",1,[58.06010000002384],[58.06010000002384],"[""scam_button""]",4.1240743,0.8824,4.1240743,0.2482,4.1240743,0.2566,0,7,7,2,1,resources/images/scam3.png,scam,1.2,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,609289,001,2025-02-19_16h01.55.134,SLSIC,2022.2.5,MacIntel,59.17159763,,,,,,,,,,,9,"[39.094199999988085,42.62989999997616,45.51389999997617,48.776,57.160699999988076,60.08160000002385,63.60360000002384,66.72,69.65189999997617]","[39.094199999988085,42.62989999997616,45.51389999997617,48.776,57.160800000011925,60.08160000002385,63.60360000002384,66.72,69.65189999997617]",,8,"[39.773500000000006,43.244600000023844,46.16250000000001,49.33460000002384,61.22430000001192,64.20139999997616,67.32260000002384,70.40060000002384]","[39.773500000000006,43.244600000023844,46.16250000000001,49.33469999998809,61.22430000001192,64.20139999997616,67.32269999998809,70.40060000002384]",1,[58.06010000002384],[58.06010000002384],"[""scam_button""]",4.825727675,0.7555,4.825727675,0.2241,4.825727675,0.4609,0,8,8,17,1,resources/images/scam10.jpg,scam,1,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,609289,001,2025-02-19_16h01.55.134,SLSIC,2022.2.5,MacIntel,59.17159763,,,,,,,,,,,10,"[39.094199999988085,42.62989999997616,45.51389999997617,48.776,57.160699999988076,60.08160000002385,63.60360000002384,66.72,69.65189999997617,73.29469999998807]","[39.094199999988085,42.62989999997616,45.51389999997617,48.776,57.160800000011925,60.08160000002385,63.60360000002384,66.72,69.65189999997617,73.29480000001192]",,9,"[39.773500000000006,43.244600000023844,46.16250000000001,49.33460000002384,61.22430000001192,64.20139999997616,67.32260000002384,70.40060000002384,73.87689999997616]","[39.773500000000006,43.244600000023844,46.16250000000001,49.33469999998809,61.22430000001192,64.20139999997616,67.32269999998809,70.40060000002384,73.87689999997616]",1,[58.06010000002384],[58.06010000002384],"[""scam_button""]",4.149736192,0.6988,4.149736192,0.2392,4.149736192,0.2315,0,9,9,23,1,resources/images/scam14-EDIT.png,scam,0.65,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,609289,001,2025-02-19_16h01.55.134,SLSIC,2022.2.5,MacIntel,59.17159763,,,,,,,,,,,11,"[39.094199999988085,42.62989999997616,45.51389999997617,48.776,57.160699999988076,60.08160000002385,63.60360000002384,66.72,69.65189999997617,73.29469999998807,75.886]","[39.094199999988085,42.62989999997616,45.51389999997617,48.776,57.160800000011925,60.08160000002385,63.60360000002384,66.72,69.65189999997617,73.29480000001192,75.88610000002384]",,10,"[39.773500000000006,43.244600000023844,46.16250000000001,49.33460000002384,61.22430000001192,64.20139999997616,67.32260000002384,70.40060000002384,73.87689999997616,76.68460000002385]","[39.773500000000006,43.244600000023844,46.16250000000001,49.33469999998809,61.22430000001192,64.20139999997616,67.32269999998809,70.40060000002384,73.87689999997616,76.68460000002385]",1,[58.06010000002384],[58.06010000002384],"[""scam_button""]",4.152589247,0.5906,4.152589247,0.2324,4.152589247,0.1973,0,10,10,20,1,resources/images/scam12.jpg,scam,0.65,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,609289,001,2025-02-19_16h01.55.134,SLSIC,2022.2.5,MacIntel,59.17159763,,,,,,,,,,,12,"[39.094199999988085,42.62989999997616,45.51389999997617,48.776,57.160699999988076,60.08160000002385,63.60360000002384,66.72,69.65189999997617,73.29469999998807,75.886,81.37069999998809]","[39.094199999988085,42.62989999997616,45.51389999997617,48.776,57.160800000011925,60.08160000002385,63.60360000002384,66.72,69.65189999997617,73.29480000001192,75.88610000002384,81.37069999998809]",,11,"[39.773500000000006,43.244600000023844,46.16250000000001,49.33460000002384,61.22430000001192,64.20139999997616,67.32260000002384,70.40060000002384,73.87689999997616,76.68460000002385,82.419]","[39.773500000000006,43.244600000023844,46.16250000000001,49.33469999998809,61.22430000001192,64.20139999997616,67.32269999998809,70.40060000002384,73.87689999997616,76.68460000002385,82.419]",1,[58.06010000002384],[58.06010000002384],"[""scam_button""]",4.322995334,0.6635,4.322995334,0.1993,4.322995334,0.1992,0,11,11,14,1,resources/images/legit7-EDIT.png,legit,0.65,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,609289,001,2025-02-19_16h01.55.134,SLSIC,2022.2.5,MacIntel,59.17159763,,,,,,,,,,,13,"[39.094199999988085,42.62989999997616,45.51389999997617,48.776,57.160699999988076,60.08160000002385,63.60360000002384,66.72,69.65189999997617,73.29469999998807,75.886,81.37069999998809,84.96880000001192]","[39.094199999988085,42.62989999997616,45.51389999997617,48.776,57.160800000011925,60.08160000002385,63.60360000002384,66.72,69.65189999997617,73.29480000001192,75.88610000002384,81.37069999998809,84.96889999997617]",,12,"[39.773500000000006,43.244600000023844,46.16250000000001,49.33460000002384,61.22430000001192,64.20139999997616,67.32260000002384,70.40060000002384,73.87689999997616,76.68460000002385,82.419,85.52569999998808]","[39.773500000000006,43.244600000023844,46.16250000000001,49.33469999998809,61.22430000001192,64.20139999997616,67.32269999998809,70.40060000002384,73.87689999997616,76.68460000002385,82.419,85.52569999998808]",1,[58.06010000002384],[58.06010000002384],"[""scam_button""]",3.868383111,0.7014,3.868383111,0.1944,3.868383111,0.2936,0,12,12,3,1,resources/images/legit1.png,legit,1,0.72,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,609289,001,2025-02-19_16h01.55.134,SLSIC,2022.2.5,MacIntel,59.17159763,,,,,,,,,,,14,"[39.094199999988085,42.62989999997616,45.51389999997617,48.776,57.160699999988076,60.08160000002385,63.60360000002384,66.72,69.65189999997617,73.29469999998807,75.886,81.37069999998809,84.96880000001192,87.64610000002384]","[39.094199999988085,42.62989999997616,45.51389999997617,48.776,57.160800000011925,60.08160000002385,63.60360000002384,66.72,69.65189999997617,73.29480000001192,75.88610000002384,81.37069999998809,84.96889999997617,87.64610000002384]",,13,"[39.773500000000006,43.244600000023844,46.16250000000001,49.33460000002384,61.22430000001192,64.20139999997616,67.32260000002384,70.40060000002384,73.87689999997616,76.68460000002385,82.419,85.52569999998808,88.21630000001193]","[39.773500000000006,43.244600000023844,46.16250000000001,49.33469999998809,61.22430000001192,64.20139999997616,67.32269999998809,70.40060000002384,73.87689999997616,76.68460000002385,82.419,85.52569999998808,88.21630000001193]",1,[58.06010000002384],[58.06010000002384],"[""scam_button""]",3.765482585,0.6348,3.765482585,0.2241,3.765482585,0.2063,0,13,13,1,1,resources/images/scam_2.png,scam,0.9,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
