bruinID.text,button.numClicks,button.timesOn,button.timesOff,mouseLogIn.x,mouseLogIn.y,mouseLogIn.leftButton,mouseLogIn.midButton,mouseLogIn.rightButton,mouseLogIn.time,mouseLogIn.clicked_name,repeat.thisRepN,repeat.thisTrialN,repeat.thisN,repeat.thisIndex,repeat.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,subjage_slider.response,subjage_slider.rt,confidence_scale.response,confidence_scale.rt,key_resp_7.keys,key_resp_7.rt,button_2.numClicks,button_2.timesOn,button_2.timesOff,email_type,scam_button.numClicks,scam_button.timesOn,scam_button.timesOff,legit_button.numClicks,legit_button.timesOn,legit_button.timesOff,button_selections_1,confidence_scale_email.response,confidence_scale_email.rt,personal_rel_scale.response,personal_rel_scale.rt,curiosity_scale.response,curiosity_scale.rt,email_loop.thisRepN,email_loop.thisTrialN,email_loop.thisN,email_loop.thisIndex,email_loop.ran,emails,type,xsize,ysize,xpos,ypos,key_resp_8.keys,key_resp_8.rt,button_3.numClicks,button_3.timesOn,button_3.timesOff,button_4.numClicks,button_4.timesOn,button_4.timesOff,button_5.numClicks,button_5.timesOn,button_5.timesOff,email_loops2.thisRepN,email_loops2.thisTrialN,email_loops2.thisN,email_loops2.thisIndex,email_loops2.ran,key_resp_3.keys,key_resp_3.rt,slider1_2.response,slider1_2.rt,trust_question,loop_GT.thisRepN,loop_GT.thisTrialN,loop_GT.thisN,loop_GT.thisIndex,loop_GT.ran,Phrases,instructionresp_2.keys,instructionresp_2.rt,key_resp_13.keys,key_resp_13.rt,gen_question,loop_G.thisRepN,loop_G.thisTrialN,loop_G.thisN,loop_G.thisIndex,loop_G.ran,Questions,instructionresp.keys,instructionresp.rt,key_resp_2.keys,key_resp_2.rt,lonely_question,loop_LS.thisRepN,loop_LS.thisTrialN,loop_LS.thisN,loop_LS.thisIndex,loop_LS.ran,key_resp_4.keys,key_resp_4.rt,rating.response,rating.rt,dementia_question,loop_dm.thisRepN,loop_dm.thisTrialN,loop_dm.thisN,loop_dm.thisIndex,loop_dm.ran,Items,key_resp.keys,key_resp.rt,slider1.response,slider1.rt,ss_question,loop_SS.thisRepN,loop_SS.thisTrialN,loop_SS.thisN,loop_SS.thisIndex,loop_SS.ran,Statements,slider.response,slider.rt,Gender,textboxAge.text,textboxBirthday.text,Education Level,Ethnicity,English Fluency,textboxAge_2.text,textboxCountry.text,FQ1textbox.text,textboxQuestion2.text,textboxQuestion3.text,FQ4 selection
,,,,,,,,,,,,,,,,841694,001,2025-04-17_18h02.29.784,SLSIC2,2022.2.5,Win32,144.092219,,,,,,,,,,,5,"[128.027,170.64599999999996,202.74399999999997,225.92099999999994,249.12599999999998]","[128.027,170.64599999999996,202.74399999999997,225.92099999999994,249.12599999999998]",,2,"[203.71499999999995,226.802]","[203.71499999999995,226.802]",3,"[130.29,171.75599999999997,250.77799999999996]","[130.29,171.75699999999995,250.77799999999996]","[""legit_button""]",8.98448195,2.212,1.958351735,3.594,0.000477203,2.68,0,4,4,3,1,resources/images/legit_20.png,legit,0.9,0.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,841694,001,2025-04-17_18h02.29.784,SLSIC2,2022.2.5,Win32,144.092219,,,,,,,,,,,6,"[128.027,170.64599999999996,202.74399999999997,225.92099999999994,249.12599999999998,272.90799999999996]","[128.027,170.64599999999996,202.74399999999997,225.92099999999994,249.12599999999998,272.90799999999996]",,3,"[203.71499999999995,226.802,273.778]","[203.71499999999995,226.802,273.778]",3,"[130.29,171.75599999999997,250.77799999999996]","[130.29,171.75699999999995,250.77799999999996]","[""scam_button""]",8.98448195,2.486,1.986122832,2.456,0.000477203,1.722,0,5,5,14,1,resources/images/scam18.png,scam,1,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,841694,001,2025-04-17_18h02.29.784,SLSIC2,2022.2.5,Win32,144.092219,,,,,,,,,,,7,"[128.027,170.64599999999996,202.74399999999997,225.92099999999994,249.12599999999998,272.90799999999996,295.77899999999994]","[128.027,170.64599999999996,202.74399999999997,225.92099999999994,249.12599999999998,272.90799999999996,295.77899999999994]",,4,"[203.71499999999995,226.802,273.778,296.466]","[203.71499999999995,226.802,273.778,296.466]",3,"[130.29,171.75599999999997,250.77799999999996]","[130.29,171.75699999999995,250.77799999999996]","[""scam_button""]",6.984950774,4.733,0.097676805,1.487,0.042134103,0.887,0,6,6,1,1,resources/images/scam9.jpg,scam,0.65,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,841694,001,2025-04-17_18h02.29.784,SLSIC2,2022.2.5,Win32,144.092219,,,,,,,,,,,8,"[128.027,170.64599999999996,202.74399999999997,225.92099999999994,249.12599999999998,272.90799999999996,295.77899999999994,318.28299999999996]","[128.027,170.64599999999996,202.74399999999997,225.92099999999994,249.12599999999998,272.90799999999996,295.77899999999994,318.28299999999996]",,4,"[203.71499999999995,226.802,273.778,296.466]","[203.71499999999995,226.802,273.778,296.466]",4,"[130.29,171.75599999999997,250.77799999999996,319.57199999999995]","[130.29,171.75699999999995,250.77799999999996,319.57199999999995]","[""legit_button""]",3.00671687,2.431,0.007420105,6.305,0.007420105,1.631,0,7,7,10,1,resources/images/scam15.jpg,scam,0.65,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,841694,001,2025-04-17_18h02.29.784,SLSIC2,2022.2.5,Win32,144.092219,,,,,,,,,,,9,"[128.027,170.64599999999996,202.74399999999997,225.92099999999994,249.12599999999998,272.90799999999996,295.77899999999994,318.28299999999996,338.621]","[128.027,170.64599999999996,202.74399999999997,225.92099999999994,249.12599999999998,272.90799999999996,295.77899999999994,318.28299999999996,338.621]",,4,"[203.71499999999995,226.802,273.778,296.466]","[203.71499999999995,226.802,273.778,296.466]",5,"[130.29,171.75599999999997,250.77799999999996,319.57199999999995,339.36899999999997]","[130.29,171.75699999999995,250.77799999999996,319.57199999999995,339.36899999999997]","[""legit_button""]",7.998601656,2.158,5.999070479,3.051,0.99329989,3.886,0,8,8,13,1,resources/images/legit15.jpg,legit,0.95,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,841694,001,2025-04-17_18h02.29.784,SLSIC2,2022.2.5,Win32,144.092219,,,,,,,,,,,10,"[128.027,170.64599999999996,202.74399999999997,225.92099999999994,249.12599999999998,272.90799999999996,295.77899999999994,318.28299999999996,338.621,354.71899999999994]","[128.027,170.64599999999996,202.74399999999997,225.92099999999994,249.12599999999998,272.90799999999996,295.77899999999994,318.28299999999996,338.621,354.71899999999994]",,5,"[203.71499999999995,226.802,273.778,296.466,355.573]","[203.71499999999995,226.802,273.778,296.466,355.573]",5,"[130.29,171.75599999999997,250.77799999999996,319.57199999999995,339.36899999999997]","[130.29,171.75699999999995,250.77799999999996,319.57199999999995,339.36899999999997]","[""scam_button""]",9.019195694,1.223,0.049077004,2.271,0.000477203,0.566,0,9,9,21,1,resources/images/scam_23.png,scam,1,0.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,841694,001,2025-04-17_18h02.29.784,SLSIC2,2022.2.5,Win32,144.092219,,,,,,,,,,,11,"[128.027,170.64599999999996,202.74399999999997,225.92099999999994,249.12599999999998,272.90799999999996,295.77899999999994,318.28299999999996,338.621,354.71899999999994,379.46899999999994]","[128.027,170.64599999999996,202.74399999999997,225.92099999999994,249.12599999999998,272.90799999999996,295.77899999999994,318.28299999999996,338.621,354.71899999999994,379.46999999999997]",,5,"[203.71499999999995,226.802,273.778,296.466,355.573]","[203.71499999999995,226.802,273.778,296.466,355.573]",6,"[130.29,171.75599999999997,250.77799999999996,319.57199999999995,339.36899999999997,380.34099999999995]","[130.29,171.75699999999995,250.77799999999996,319.57199999999995,339.36899999999997,380.34099999999995]","[""legit_button""]",3.971768206,2.542,1.01412834,5.628,0.000477203,3.619,0,10,10,2,1,resources/images/legit11.jpg,legit,0.65,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,841694,001,2025-04-17_18h02.29.784,SLSIC2,2022.2.5,Win32,144.092219,,,,,,,,,,,12,"[128.027,170.64599999999996,202.74399999999997,225.92099999999994,249.12599999999998,272.90799999999996,295.77899999999994,318.28299999999996,338.621,354.71899999999994,379.46899999999994,416.226]","[128.027,170.64599999999996,202.74399999999997,225.92099999999994,249.12599999999998,272.90799999999996,295.77899999999994,318.28299999999996,338.621,354.71899999999994,379.46999999999997,416.226]",,5,"[203.71499999999995,226.802,273.778,296.466,355.573]","[203.71499999999995,226.802,273.778,296.466,355.573]",7,"[130.29,171.75599999999997,250.77799999999996,319.57199999999995,339.36899999999997,380.34099999999995,417.454]","[130.29,171.75699999999995,250.77799999999996,319.57199999999995,339.36899999999997,380.34099999999995,417.454]","[""legit_button""]",1.972237029,2.23,1.937523285,2.458,0.042134103,3.715,0,11,11,9,1,resources/images/legit_22.png,legit,1,0.78,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,841694,001,2025-04-17_18h02.29.784,SLSIC2,2022.2.5,Win32,144.092219,,,,,,,,,,,13,"[128.027,170.64599999999996,202.74399999999997,225.92099999999994,249.12599999999998,272.90799999999996,295.77899999999994,318.28299999999996,338.621,354.71899999999994,379.46899999999994,416.226,436.0229999999999]","[128.027,170.64599999999996,202.74399999999997,225.92099999999994,249.12599999999998,272.90799999999996,295.77899999999994,318.28299999999996,338.621,354.71899999999994,379.46999999999997,416.226,436.0229999999999]",,5,"[203.71499999999995,226.802,273.778,296.466,355.573]","[203.71499999999995,226.802,273.778,296.466,355.573]",8,"[130.29,171.75599999999997,250.77799999999996,319.57199999999995,339.36899999999997,380.34099999999995,417.454,436.661]","[130.29,171.75699999999995,250.77799999999996,319.57199999999995,339.36899999999997,380.34099999999995,417.454,436.661]","[""legit_button""]",7.991659518,2.258,6.984950774,3.973,3.999539811,3.333,0,12,12,16,1,resources/images/legit_30.png,legit,1,0.85,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,841694,001,2025-04-17_18h02.29.784,SLSIC2,2022.2.5,Win32,144.092219,,,,,,,,,,,14,"[128.027,170.64599999999996,202.74399999999997,225.92099999999994,249.12599999999998,272.90799999999996,295.77899999999994,318.28299999999996,338.621,354.71899999999994,379.46899999999994,416.226,436.0229999999999,458.12299999999993]","[128.027,170.64599999999996,202.74399999999997,225.92099999999994,249.12599999999998,272.90799999999996,295.77899999999994,318.28299999999996,338.621,354.71899999999994,379.46999999999997,416.226,436.0229999999999,458.12299999999993]",,6,"[203.71499999999995,226.802,273.778,296.466,355.573,459.504]","[203.71499999999995,226.802,273.778,296.466,355.573,459.504]",8,"[130.29,171.75599999999997,250.77799999999996,319.57199999999995,339.36899999999997,380.34099999999995,417.454,436.661]","[130.29,171.75699999999995,250.77799999999996,319.57199999999995,339.36899999999997,380.34099999999995,417.454,436.661]","[""scam_button""]",8.977538795,3.11,0,4.3,0,1.348,0,13,13,20,1,resources/images/scam_30.png,scam,1.45,0.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
