bruinID.text,button.numClicks,button.timesOn,button.timesOff,mouseLogIn.x,mouseLogIn.y,mouseLogIn.leftButton,mouseLogIn.midButton,mouseLogIn.rightButton,mouseLogIn.time,mouseLogIn.clicked_name,repeat.thisRepN,repeat.thisTrialN,repeat.thisN,repeat.thisIndex,repeat.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,subjage_slider.response,subjage_slider.rt,confidence_scale.response,confidence_scale.rt,key_resp_7.keys,key_resp_7.rt,button_2.numClicks,button_2.timesOn,button_2.timesOff,email_type,scam_button.numClicks,scam_button.timesOn,scam_button.timesOff,legit_button.numClicks,legit_button.timesOn,legit_button.timesOff,button_selections_1,confidence_scale_email.response,confidence_scale_email.rt,personal_rel_scale.response,personal_rel_scale.rt,curiosity_scale.response,curiosity_scale.rt,email_loop.thisRepN,email_loop.thisTrialN,email_loop.thisN,email_loop.thisIndex,email_loop.ran,emails,type,xsize,ysize,xpos,ypos,key_resp_8.keys,key_resp_8.rt,button_3.numClicks,button_3.timesOn,button_3.timesOff,button_4.numClicks,button_4.timesOn,button_4.timesOff,button_5.numClicks,button_5.timesOn,button_5.timesOff,email_loops2.thisRepN,email_loops2.thisTrialN,email_loops2.thisN,email_loops2.thisIndex,email_loops2.ran,key_resp_3.keys,key_resp_3.rt,slider1_2.response,slider1_2.rt,trust_question,loop_GT.thisRepN,loop_GT.thisTrialN,loop_GT.thisN,loop_GT.thisIndex,loop_GT.ran,Phrases,instructionresp_2.keys,instructionresp_2.rt,key_resp_13.keys,key_resp_13.rt,gen_question,loop_G.thisRepN,loop_G.thisTrialN,loop_G.thisN,loop_G.thisIndex,loop_G.ran,Questions,instructionresp.keys,instructionresp.rt,key_resp_2.keys,key_resp_2.rt,lonely_question,loop_LS.thisRepN,loop_LS.thisTrialN,loop_LS.thisN,loop_LS.thisIndex,loop_LS.ran,key_resp_4.keys,key_resp_4.rt,rating.response,rating.rt,dementia_question,loop_dm.thisRepN,loop_dm.thisTrialN,loop_dm.thisN,loop_dm.thisIndex,loop_dm.ran,Items,key_resp.keys,key_resp.rt,slider1.response,slider1.rt,ss_question,loop_SS.thisRepN,loop_SS.thisTrialN,loop_SS.thisN,loop_SS.thisIndex,loop_SS.ran,Statements,slider.response,slider.rt,Gender,textboxAge.text,textboxBirthday.text,Education Level,Ethnicity,English Fluency,textboxAge_2.text,textboxCountry.text,FQ1textbox.text,textboxQuestion2.text,textboxQuestion3.text,FQ4 selection,Finish.numClicks,Finish.timesOn,Finish.timesOff
306415266,1,[10.199000000000002],[10.199100000023844],0.325314864,-0.096710583,1,0,0,10.1478,button,0,0,0,0,1,167121,001,2025-04-15_12h31.07.384,SLSIC2,2022.2.5,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,167121,001,2025-04-15_12h31.07.384,SLSIC2,2022.2.5,MacIntel,60.24096386,space,1.3721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,167121,001,2025-04-15_12h31.07.384,SLSIC2,2022.2.5,MacIntel,60.24096386,,,space,1.5495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,167121,001,2025-04-15_12h31.07.384,SLSIC2,2022.2.5,MacIntel,60.24096386,,,,,22.19373281,9.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,167121,001,2025-04-15_12h31.07.384,SLSIC2,2022.2.5,MacIntel,60.24096386,,,,,,,7.998678215,135.5973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,167121,001,2025-04-15_12h31.07.384,SLSIC2,2022.2.5,MacIntel,60.24096386,,,,,,,,,space,11.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,167121,001,2025-04-15_12h31.07.384,SLSIC2,2022.2.5,MacIntel,60.24096386,,,,,,,,,,,1,[183.2156999999881],[183.2156999999881],,0,[],[],1,[184.28319999998808],[184.28319999998808],"[""legit_button""]",6.9961636,3.8955,7.004760574,4.4523,1.992509887,4.1884,0,0,0,3,1,resources/images/legit_20.png,legit,0.9,0.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,167121,001,2025-04-15_12h31.07.384,SLSIC2,2022.2.5,MacIntel,60.24096386,,,,,,,,,,,2,"[183.2156999999881,212.09930000001194]","[183.2156999999881,212.09940000003579]",,1,[212.79910000002383],[212.79910000002383],1,[184.28319999998808],[184.28319999998808],"[""scam_button""]",7.972511176,1.8499,5.00988652,1.7351,0.963505846,3.0146,0,1,1,14,1,resources/images/scam18.png,scam,1,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,167121,001,2025-04-15_12h31.07.384,SLSIC2,2022.2.5,MacIntel,60.24096386,,,,,,,,,,,3,"[183.2156999999881,212.09930000001194,224.81600000005963]","[183.2156999999881,212.09940000003579,224.81609999996425]",,2,"[212.79910000002383,225.96610000002383]","[212.79910000002383,225.96610000002383]",1,[184.28319999998808],[184.28319999998808],"[""scam_button""]",9.041974725,1.9868,0.985535591,1.6538,0.469985815,0.9048,0,2,2,15,1,resources/images/legit16.jpg,legit,0.65,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,167121,001,2025-04-15_12h31.07.384,SLSIC2,2022.2.5,MacIntel,60.24096386,,,,,,,,,,,4,"[183.2156999999881,212.09930000001194,224.81600000005963,235.8325000000596]","[183.2156999999881,212.09940000003579,224.81609999996425,235.83259999996426]",,2,"[212.79910000002383,225.96610000002383]","[212.79910000002383,225.96610000002383]",2,"[184.28319999998808,236.58209999996424]","[184.28319999998808,236.58209999996424]","[""legit_button""]",7.015721716,2.5826,7.015721716,1.7546,7.017817228,2.5985,0,3,3,8,1,resources/images/legit_23.png,legit,1,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
