bruinID.text,button.numClicks,button.timesOn,button.timesOff,mouseLogIn.x,mouseLogIn.y,mouseLogIn.leftButton,mouseLogIn.midButton,mouseLogIn.rightButton,mouseLogIn.time,mouseLogIn.clicked_name,repeat.thisRepN,repeat.thisTrialN,repeat.thisN,repeat.thisIndex,repeat.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,subjage_slider.response,subjage_slider.rt,confidence_scale.response,confidence_scale.rt,key_resp_7.keys,key_resp_7.rt,button_2.numClicks,button_2.timesOn,button_2.timesOff,email_type,scam_button.numClicks,scam_button.timesOn,scam_button.timesOff,legit_button.numClicks,legit_button.timesOn,legit_button.timesOff,button_selections_1,confidence_scale_email.response,confidence_scale_email.rt,personal_rel_scale.response,personal_rel_scale.rt,curiosity_scale.response,curiosity_scale.rt,email_loop.thisRepN,email_loop.thisTrialN,email_loop.thisN,email_loop.thisIndex,email_loop.ran,emails,type,xsize,ysize,xpos,ypos,key_resp_8.keys,key_resp_8.rt,button_3.numClicks,button_3.timesOn,button_3.timesOff,button_4.numClicks,button_4.timesOn,button_4.timesOff,button_5.numClicks,button_5.timesOn,button_5.timesOff,email_loops2.thisRepN,email_loops2.thisTrialN,email_loops2.thisN,email_loops2.thisIndex,email_loops2.ran,key_resp_3.keys,key_resp_3.rt,slider1_2.response,slider1_2.rt,trust_question,loop_GT.thisRepN,loop_GT.thisTrialN,loop_GT.thisN,loop_GT.thisIndex,loop_GT.ran,Phrases,instructionresp_2.keys,instructionresp_2.rt,key_resp_13.keys,key_resp_13.rt,gen_question,loop_G.thisRepN,loop_G.thisTrialN,loop_G.thisN,loop_G.thisIndex,loop_G.ran,Questions,instructionresp.keys,instructionresp.rt,key_resp_2.keys,key_resp_2.rt,lonely_question,loop_LS.thisRepN,loop_LS.thisTrialN,loop_LS.thisN,loop_LS.thisIndex,loop_LS.ran,key_resp_4.keys,key_resp_4.rt,rating.response,rating.rt,dementia_question,loop_dm.thisRepN,loop_dm.thisTrialN,loop_dm.thisN,loop_dm.thisIndex,loop_dm.ran,Items,key_resp.keys,key_resp.rt,slider1.response,slider1.rt,ss_question,loop_SS.thisRepN,loop_SS.thisTrialN,loop_SS.thisN,loop_SS.thisIndex,loop_SS.ran,Statements,slider.response,slider.rt,Gender,textboxAge.text,textboxBirthday.text,Education Level,Ethnicity,English Fluency,textboxAge_2.text,textboxCountry.text,FQ1textbox.text,textboxQuestion2.text,textboxQuestion3.text,FQ4 selection,Finish.numClicks,Finish.timesOn,Finish.timesOff
,,,,,,,,,,,,,,,,217934,001,2025-04-15_12h31.07.728,SLSIC2,2022.2.5,MacIntel,58.82352941,,,,,,,,,,,5,"[19.159,28.139999999999993,30.690999999999995,32.939,35.517]","[19.159,28.139999999999993,30.690999999999995,32.939,35.517]",,5,"[23.891999999999996,28.91800000000002,31.254999999999995,33.623999999999995,36.29900000000001]","[23.891999999999996,28.91800000000002,31.254999999999995,33.623999999999995,36.29900000000001]",0,[],[],"[""scam_button""]",2.935185185,0.585,5.138888889,0.338,3.472222222,0.444,0,4,4,19,1,resources/images/scam_21.png,scam,1,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,217934,001,2025-04-15_12h31.07.728,SLSIC2,2022.2.5,MacIntel,58.82352941,,,,,,,,,,,6,"[19.159,28.139999999999993,30.690999999999995,32.939,35.517,40.392]","[19.159,28.139999999999993,30.690999999999995,32.939,35.517,40.392]",,6,"[23.891999999999996,28.91800000000002,31.254999999999995,33.623999999999995,36.29900000000001,41.135000000000005]","[23.891999999999996,28.91800000000002,31.254999999999995,33.623999999999995,36.29900000000001,41.135000000000005]",0,[],[],"[""scam_button""]",4.185185185,0.527,4.185185185,0.209,4.185185185,0.157,0,5,5,6,1,resources/images/legit13.jpg,legit,0.65,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,217934,001,2025-04-15_12h31.07.728,SLSIC2,2022.2.5,MacIntel,58.82352941,,,,,,,,,,,7,"[19.159,28.139999999999993,30.690999999999995,32.939,35.517,40.392,42.999]","[19.159,28.139999999999993,30.690999999999995,32.939,35.517,40.392,42.999]",,7,"[23.891999999999996,28.91800000000002,31.254999999999995,33.623999999999995,36.29900000000001,41.135000000000005,43.58200000000001]","[23.891999999999996,28.91800000000002,31.254999999999995,33.623999999999995,36.29900000000001,41.135000000000005,43.583]",0,[],[],"[""scam_button""]",3.87962963,0.552,3.87962963,0.158,3.87962963,0.144,0,6,6,13,1,resources/images/legit15.jpg,legit,0.95,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,217934,001,2025-04-15_12h31.07.728,SLSIC2,2022.2.5,MacIntel,58.82352941,,,,,,,,,,,8,"[19.159,28.139999999999993,30.690999999999995,32.939,35.517,40.392,42.999,45.013]","[19.159,28.139999999999993,30.690999999999995,32.939,35.517,40.392,42.999,45.013]",,7,"[23.891999999999996,28.91800000000002,31.254999999999995,33.623999999999995,36.29900000000001,41.135000000000005,43.58200000000001]","[23.891999999999996,28.91800000000002,31.254999999999995,33.623999999999995,36.29900000000001,41.135000000000005,43.583]",1,[45.694],[45.694],"[""legit_button""]",6.074074074,0.496,6.074074074,0.178,6.074074074,0.156,0,7,7,22,1,resources/images/scam_24.png,scam,1,0.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,217934,001,2025-04-15_12h31.07.728,SLSIC2,2022.2.5,MacIntel,58.82352941,,,,,,,,,,,9,"[19.159,28.139999999999993,30.690999999999995,32.939,35.517,40.392,42.999,45.013,47.629]","[19.159,28.139999999999993,30.690999999999995,32.939,35.517,40.392,42.999,45.013,47.629]",,8,"[23.891999999999996,28.91800000000002,31.254999999999995,33.623999999999995,36.29900000000001,41.135000000000005,43.58200000000001,48.56100000000001]","[23.891999999999996,28.91800000000002,31.254999999999995,33.623999999999995,36.29900000000001,41.135000000000005,43.583,48.56100000000001]",1,[45.694],[45.694],"[""scam_button""]",3.037037037,1.04,3.037037037,0.195,3.037037037,0.16,0,8,8,20,1,resources/images/scam_30.png,scam,1.45,0.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,217934,001,2025-04-15_12h31.07.728,SLSIC2,2022.2.5,MacIntel,58.82352941,,,,,,,,,,,10,"[19.159,28.139999999999993,30.690999999999995,32.939,35.517,40.392,42.999,45.013,47.629,51.065999999999995]","[19.159,28.139999999999993,30.690999999999995,32.939,35.517,40.392,42.999,45.013,47.629,51.065999999999995]",,8,"[23.891999999999996,28.91800000000002,31.254999999999995,33.623999999999995,36.29900000000001,41.135000000000005,43.58200000000001,48.56100000000001]","[23.891999999999996,28.91800000000002,31.254999999999995,33.623999999999995,36.29900000000001,41.135000000000005,43.583,48.56100000000001]",2,"[45.694,51.632999999999996]","[45.694,51.632999999999996]","[""legit_button""]",7.37962963,0.573,7.37962963,0.159,7.37962963,0.147,0,9,9,3,1,resources/images/legit_20.png,legit,0.9,0.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,217934,001,2025-04-15_12h31.07.728,SLSIC2,2022.2.5,MacIntel,58.82352941,,,,,,,,,,,11,"[19.159,28.139999999999993,30.690999999999995,32.939,35.517,40.392,42.999,45.013,47.629,51.065999999999995,53.520999999999994]","[19.159,28.139999999999993,30.690999999999995,32.939,35.517,40.392,42.999,45.013,47.629,51.065999999999995,53.520999999999994]",,8,"[23.891999999999996,28.91800000000002,31.254999999999995,33.623999999999995,36.29900000000001,41.135000000000005,43.58200000000001,48.56100000000001]","[23.891999999999996,28.91800000000002,31.254999999999995,33.623999999999995,36.29900000000001,41.135000000000005,43.583,48.56100000000001]",3,"[45.694,51.632999999999996,54.798]","[45.694,51.632999999999996,54.798]","[""legit_button""]",6.583333333,0.543,6.583333333,0.16,6.583333333,0.141,0,10,10,7,1,resources/images/legit_21.png,legit,0.8,0.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,217934,001,2025-04-15_12h31.07.728,SLSIC2,2022.2.5,MacIntel,58.82352941,,,,,,,,,,,12,"[19.159,28.139999999999993,30.690999999999995,32.939,35.517,40.392,42.999,45.013,47.629,51.065999999999995,53.520999999999994,56.374]","[19.159,28.139999999999993,30.690999999999995,32.939,35.517,40.392,42.999,45.013,47.629,51.065999999999995,53.520999999999994,56.374]",,8,"[23.891999999999996,28.91800000000002,31.254999999999995,33.623999999999995,36.29900000000001,41.135000000000005,43.58200000000001,48.56100000000001]","[23.891999999999996,28.91800000000002,31.254999999999995,33.623999999999995,36.29900000000001,41.135000000000005,43.583,48.56100000000001]",4,"[45.694,51.632999999999996,54.798,56.92100000000001]","[45.694,51.632999999999996,54.798,56.92100000000001]","[""legit_button""]",5.851851852,0.488,5.851851852,0.168,5.851851852,0.135,0,11,11,18,1,resources/images/scam_20.png,scam,1.45,0.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,217934,001,2025-04-15_12h31.07.728,SLSIC2,2022.2.5,MacIntel,58.82352941,,,,,,,,,,,13,"[19.159,28.139999999999993,30.690999999999995,32.939,35.517,40.392,42.999,45.013,47.629,51.065999999999995,53.520999999999994,56.374,58.88999999999999]","[19.159,28.139999999999993,30.690999999999995,32.939,35.517,40.392,42.999,45.013,47.629,51.065999999999995,53.520999999999994,56.374,58.88999999999999]",,8,"[23.891999999999996,28.91800000000002,31.254999999999995,33.623999999999995,36.29900000000001,41.135000000000005,43.58200000000001,48.56100000000001]","[23.891999999999996,28.91800000000002,31.254999999999995,33.623999999999995,36.29900000000001,41.135000000000005,43.583,48.56100000000001]",5,"[45.694,51.632999999999996,54.798,56.92100000000001,60.114999999999995]","[45.694,51.632999999999996,54.798,56.92100000000001,60.114999999999995]","[""legit_button""]",5.092592593,0.733,5.092592593,0.176,5.092592593,0.172,0,12,12,16,1,resources/images/legit_30.png,legit,1,0.85,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,217934,001,2025-04-15_12h31.07.728,SLSIC2,2022.2.5,MacIntel,58.82352941,,,,,,,,,,,14,"[19.159,28.139999999999993,30.690999999999995,32.939,35.517,40.392,42.999,45.013,47.629,51.065999999999995,53.520999999999994,56.374,58.88999999999999,61.901999999999994]","[19.159,28.139999999999993,30.690999999999995,32.939,35.517,40.392,42.999,45.013,47.629,51.065999999999995,53.520999999999994,56.374,58.88999999999999,61.901999999999994]",,9,"[23.891999999999996,28.91800000000002,31.254999999999995,33.623999999999995,36.29900000000001,41.135000000000005,43.58200000000001,48.56100000000001,62.506]","[23.891999999999996,28.91800000000002,31.254999999999995,33.623999999999995,36.29900000000001,41.135000000000005,43.583,48.56100000000001,62.506]",5,"[45.694,51.632999999999996,54.798,56.92100000000001,60.114999999999995]","[45.694,51.632999999999996,54.798,56.92100000000001,60.114999999999995]","[""scam_button""]",2.962962963,0.758,2.953703704,0.167,2.953703704,0.151,0,13,13,12,1,resources/images/scam17.png,scam,0.8,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,217934,001,2025-04-15_12h31.07.728,SLSIC2,2022.2.5,MacIntel,58.82352941,,,,,,,,,,,15,"[19.159,28.139999999999993,30.690999999999995,32.939,35.517,40.392,42.999,45.013,47.629,51.065999999999995,53.520999999999994,56.374,58.88999999999999,61.901999999999994,64.42500000000001]","[19.159,28.139999999999993,30.690999999999995,32.939,35.517,40.392,42.999,45.013,47.629,51.065999999999995,53.520999999999994,56.374,58.88999999999999,61.901999999999994,64.42500000000001]",,10,"[23.891999999999996,28.91800000000002,31.254999999999995,33.623999999999995,36.29900000000001,41.135000000000005,43.58200000000001,48.56100000000001,62.506,65.69200000000001]","[23.891999999999996,28.91800000000002,31.254999999999995,33.623999999999995,36.29900000000001,41.135000000000005,43.583,48.56100000000001,62.506,65.69200000000001]",5,"[45.694,51.632999999999996,54.798,56.92100000000001,60.114999999999995]","[45.694,51.632999999999996,54.798,56.92100000000001,60.114999999999995]","[""scam_button""]",1.527777778,0.844,1.527777778,0.177,1.527777778,0.15,0,14,14,14,1,resources/images/scam18.png,scam,1,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
